index,Title,Year,Description,Court/Act,Keyword
0,"Section 166 in The Motor Vehicles Act, 1988
          
  

  
     [Complete Act]","1988
          
  

  
     [Complete Act]","application for compensation arising out of an accident of the nature specified in sub-section (1) of section ... property; or (c) where death has resulted from the accident, by all or any of the legal representatives",Central Government Act,accident
1,"Section 140 in The Motor Vehicles Act, 1988
          
  

  
     [Complete Act]","1988
          
  

  
     [Complete Act]",permanent disablement of any person has resulted from an accident arising out of the use of a motor vehicle,Central Government Act,accident
2,"Section 300 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,death of any other person by mistake or accident. The above exception is subject to the following provisos:— (First) —That ... death of the child was not caused by accident or misfortune in doing an act caused by the provocation,Central Government Act,accident
3,"Section 163A in The Motor Vehicles Act, 1988
          
  

  
     [Complete Act]","1988
          
  

  
     [Complete Act]","case of death or permanent disablement due to accident arising out of the use of motor vehicle, compensation, as indicated",Central Government Act,accident
4,"Sarla Verma & Ors vs Delhi Transport Corp.& Anr on 15 April, 2009",2009,"RAVEENDRAN, J. The claimants in a motor accident claim have filed this appeal by special leave seeking increase in compensation ... died on account of injuries sustained in a motor accident which occurred on 18.4.1988 involving a bus bearing",Supreme Court of India,accident
5,"Section 174 in The Code Of Criminal Procedure,   1973
          
  

  
     [Complete Act]","1973
          
  

  
     [Complete Act]","animal or by machinery or by an accident, or has died under circumstances raising a reasonable suspicion that some other",Central Government Act,accident
6,"Section 147 in The Motor Vehicles Act, 1988
          
  

  
     [Complete Act]","1988
          
  

  
     [Complete Act]","public place at the time of the accident, if the act or omission which led to the accident occurred ... shall cover any liability incurred in respect of any accident, up to the following limits, namely:— (a) save as provided",Central Government Act,accident
7,"National Insurance Co. Ltd vs Swaran Singh & Ors on 5 January, 2004",2004,"description of vehicle but the vehicle involved in the accident was of different class or description; and (e) the vehicle ... owner or driver of the vehicle involved in the accident or by all or any of them, as the case",Supreme Court of India,accident
8,"The Oriental Insurance Company ... vs Meena Variyal & Ors on 2 April, 2007",2007,"special contract. On 14.6.1999, the vehicle met with an accident. Suresh Chandra Variyal, died. The widow and daughter of Suresh ... driven by Mahmood Hasan at the time of the accident. The deceased was an occupant",Supreme Court of India,accident
9,"Section 8 in The Indian Evidence Act, 1872
          
  

  
     [Complete Act]","1872
          
  

  
     [Complete Act]","fact that he had not seen the accident; Ganpat Kondiba Chavan v. State of Maharashtra, (1997) 2 Crimes",Central Government Act,accident
