,Title,Year,Description,Court/Act,Keyword
0,"Section 366 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 366 in The Indian Penal Code 366. Kidnapping, abducting or inducing woman to compel her mar­riage, etc.—Whoever ... kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that",Central Government Act,kidnapping
1,"Section 360 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 360 in The Indian Penal Code 360. Kidnapping from India.—Whoever conveys any person beyond the limits ... consent on behalf of that person, is said to kidnap that person from 1[India",Central Government Act,kidnapping
2,"Section 363 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Indian Penal Code 363. Punishment for kidnapping.—Whoever kidnaps any person from 1[India] or from lawful guardianship, shall",Central Government Act,kidnapping
3,"Section 100 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,unnatural lust; (Fifthly) — An assault with the intention of kidnapping or abduct­ing; (Sixthly) — An assault with the intention,Central Government Act,kidnapping
4,"Section 364 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 364 in The Indian Penal Code 364. Kidnapping or abducting in order to murder.—Whoever kidnaps or abducts ... shall also be liable to fine. Illustrations (a) A kidnaps Z from 2[India], intending or knowing",Central Government Act,kidnapping
5,"Section 365 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 365 in The Indian Penal Code 365. Kidnapping or abducting with intent secretly and wrongfully to confine person.—Whoever ... kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully con­fined, shall",Central Government Act,kidnapping
6,"Section 361 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 361 in The Indian Penal Code 361. Kidnapping from lawful guardianship.—Whoever takes or entices any minor under ... without the consent of such guardian, is said to kidnap such minor or person from lawful guardianship. Explanation.—The words",Central Government Act,kidnapping
7,"Section 367 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 367 in The Indian Penal Code 367. Kidnapping or abducting in order to subject person to griev­ous hurt ... slavery, etc.—Whoever kidnaps or abducts any person in order that such person may be subjected",Central Government Act,kidnapping
8,"Section 364A in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Section 364A in The Indian Penal Code 1[364A. Kidnapping for ransom, etc.—Whoever kidnaps or abducts any person ... keeps a person in detention after such kidnapping or abduction and threatens to cause death or hurt to such person",Central Government Act,kidnapping
9,"Section 368 in The Indian Penal Code
          
  

  
     [Complete Act]",Not Mentioned,"Penal Code 368. Wrongfully concealing or keeping in confinement, kidnapped or abducted person.—Whoever, knowing that any person has been ... kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished in the same manner",Central Government Act,kidnapping
